,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
487,-1.375,-4.5625,-2.3125,1.5,0.4375,-0.5,5.8125,2.125,-0.625,1.3125
488,-0.75,-2.5625,-1.5,3.40625,2.46875,0.46875,5.65625,2.8125,0.0,1.34375
489,-1.71875,-5.03125,-1.5,2.375,0.125,-0.15625,5.84375,2.65625,-0.59375,1.40625
490,-1.53125,-4.34375,-1.3125,1.875,3.03125,-0.25,6.5,2.125,-1.125,-0.5
491,-0.828125,-4.6875,-1.875,3.3125,-0.875,0.0,6.0625,2.0,-0.4375,0.3125
492,-0.171875,-4.0625,-1.3125,4.125,0.3125,-0.25,7.375,1.875,-0.375,1.375
493,-1.6875,-5.8125,-0.75,2.0,0.8125,-0.6875,5.625,2.125,-0.125,0.3125
494,-1.5,-4.125,-2.375,3.4375,0.75,0.625,6.625,1.875,-0.1875,0.8125
495,-1.5,-4.5625,-1.3125,3.5625,0.8125,-0.75,6.625,1.625,-1.8125,1.875
496,-1.15625,-3.71875,-1.25,2.8125,0.625,-0.625,7.34375,1.96875,-0.84375,1.03125
497,-1.3125,-5.4375,-2.0625,2.9375,1.34375,-1.3125,5.90625,1.78125,-0.34375,1.09375
498,-1.375,-3.015625,-1.375,3.5,2.375,-0.125,7.0,2.375,-0.0625,1.125
499,-2.1875,-5.125,-2.1875,2.75,3.1875,-1.3125,5.375,1.9375,-0.1875,1.1875
500,-2.1875,-4.4375,-0.3125,3.8125,4.9375,-0.5,5.5625,-0.25,-1.6875,1.375
501,-0.34375,-5.5625,-1.25,3.71875,3.3125,0.90625,5.90625,0.59375,-1.15625,-0.25
502,-1.125,-3.5,-1.5,2.875,1.65625,0.15625,6.75,1.96875,-0.65625,0.125
503,-2.15625,-4.34375,-1.375,1.9375,2.75,-0.6875,6.5,2.53125,-0.5625,-0.75
504,-0.625,-2.625,-1.75,3.75,0.75,0.6875,7.03125,1.4375,-0.625,-0.0625
505,-1.03125,-4.34375,-1.5,3.53125,1.40625,0.15625,7.25,1.84375,-1.96875,0.375
506,0.1875,-3.6875,-1.375,3.96875,1.96875,0.09375,6.53125,2.46875,-0.90625,0.75
507,-1.234375,-5.0,-1.5625,1.5,2.6875,-0.6875,7.5,2.1875,-1.375,0.8125
508,-1.375,-1.453125,-2.125,3.375,1.875,-0.5,6.0,2.375,-1.125,-0.375
509,-2.0,-5.25,-1.75,1.6875,1.4375,-0.9375,6.9375,2.5625,-1.5625,0.0
510,-1.3125,-1.8125,-0.90625,2.375,2.46875,-1.375,6.09375,1.40625,-0.90625,0.625
511,-1.09375,-5.53125,-1.6875,3.3125,1.4375,-1.4375,5.4375,1.6875,-1.8125,0.4375
512,-0.015625,-3.9375,-0.25,3.6875,3.6875,0.25,5.75,0.3125,-1.9375,2.0
513,-1.53125,-6.90625,-0.90625,2.25,0.75,-0.75,5.96875,1.53125,-4.125,1.09375
514,-1.25,-4.4375,-1.6875,3.9375,0.0625,0.0,6.1875,1.875,-1.6875,-0.125
515,-1.625,-6.25,-1.375,3.0625,2.4375,-0.875,6.125,1.3125,-3.8125,0.75
516,0.21875,-4.46875,-0.375,4.875,1.75,-0.25,6.8125,1.6875,-3.375,1.875
517,-2.28125,-6.21875,-0.84375,2.5,3.375,-1.125,6.96875,1.84375,-2.5,0.875
518,-3.34375,-4.0,-1.5,3.40625,1.40625,-0.625,5.71875,2.28125,-2.5,-0.125
519,-2.15625,-7.125,-1.3125,2.6875,1.0,-1.1875,6.78125,1.5,-2.0625,0.0625
520,-1.375,-4.9375,0.4375,3.75,2.875,-0.625,7.6875,1.5625,-1.0,0.1875
521,-0.96875,-6.75,0.125,5.53125,1.6875,-0.3125,6.5625,1.625,-1.3125,0.1875
522,-1.5625,-5.6875,-0.5625,5.0,0.25,-0.125,7.0625,1.125,-2.875,0.5625
523,-2.3125,-5.5,-0.4375,4.0,1.875,-0.0625,6.3125,1.8125,-1.25,0.25
524,-1.53125,-4.78125,-0.71875,4.71875,1.78125,0.96875,6.46875,1.15625,-1.53125,-0.125
525,-1.5,-6.25,0.25,2.5625,1.3125,-0.5625,5.6875,1.1875,-2.4375,0.125
526,-1.375,-4.8125,-0.125,3.375,0.875,0.25,6.875,2.25,-1.75,0.9375
527,-1.5625,-5.1875,0.375,3.6875,1.1875,-0.625,6.8125,2.375,-1.8125,0.8125
