,dolphin,octopus,panda,sea turtle,quokka,koala,peacock,snow leopard,sea otter,honeybee
976,18.125,17.875,19.5,19.125,16.25,16.625,14.375,14.75,20.25,17.75
977,14.625,13.75,17.125,14.875,13.625,14.25,10.625,11.25,15.5,13.625
978,18.0,16.0,19.0,16.625,15.375,16.0,12.625,13.25,18.5,15.125
979,19.25,20.875,22.0,19.75,17.875,18.25,16.75,16.25,20.75,17.0
980,17.375,18.625,20.375,19.25,15.75,17.125,14.25,15.5,18.75,15.875
981,18.5,18.25,19.875,19.125,16.5,16.5,15.625,14.875,18.875,16.125
982,14.5,17.125,18.25,15.5,13.5,14.25,12.25,12.5,16.125,13.75
983,22.125,23.5,24.0,23.625,21.5,21.75,19.375,20.5,25.625,20.625
984,19.375,19.75,20.625,20.125,16.25,17.75,17.375,16.5,20.0,18.0
985,19.0,19.0,21.5,20.75,17.125,18.375,16.0,17.25,20.125,17.875
986,16.625,17.125,18.375,18.375,15.25,15.25,13.125,13.625,17.875,16.25
987,17.125,18.5,19.875,18.0,15.75,17.0,14.0,14.875,18.625,17.625
988,17.25,16.5,18.25,17.25,15.625,15.125,13.75,14.0,17.75,15.375
989,18.125,17.875,20.0,18.375,16.375,16.875,16.375,15.625,19.125,15.125
990,18.875,19.25,20.75,19.125,16.375,17.75,14.25,16.0,20.625,16.875
991,19.125,19.125,21.5,19.25,17.75,18.75,16.0,15.25,20.375,17.5
992,18.0,19.5,19.625,17.75,16.625,17.0,15.625,14.75,18.5,16.5
993,18.75,18.125,20.5,17.875,17.5,18.25,16.75,15.5,19.625,17.0
994,21.0,19.75,21.375,19.625,19.125,19.5,17.125,16.625,21.25,18.0
995,19.375,20.125,20.75,19.375,18.0,18.75,15.75,15.375,20.0,17.375
996,17.5,18.0,19.0,18.125,15.75,16.375,14.0,14.625,20.0,17.125
997,17.875,17.875,19.0,18.125,17.0,18.0,15.375,14.0,20.125,15.625
998,17.25,18.625,19.375,17.5,16.0,16.25,14.5,15.125,19.0,16.75
999,19.375,20.75,21.75,19.625,18.0,18.75,16.375,16.125,19.75,19.0
